"Número d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripció torn","Descripció causa vianant","Número de morts","Número de lesionats lleus","Número de lesionats greus","Número de víctimes","Número de vehicles implicats","Coordenada UTM (X)","Coordenada UTM (Y)","Longitud","Latitud"
"2017S000023    ",3,"Sants-Montjuïc",16,"la Bordeta",89707,"CONSTITUCIÓ                                       ","0116 0116","Dimarts","Dm","Laboral","2017",1,"Gener","3","21","Tarda","No és causa del  vianant",0,3,0,3,2,"427686,09","4580345,85","2.135407","41.369828"
"2017S007809    ",3,"Sants-Montjuïc",16,"la Bordeta",169409,"Corts Catalanes                                   ","0169X0169X","Dijous","Dj","Laboral","2017",9,"Setembre","21","08","Matí","No és causa del  vianant",0,1,0,1,3,"428023,02","4580080,77","2.138251","41.367177"
"2017S001584    ",3,"Sants-Montjuïc",17,"Sants - Badal",31208,"BEGUR / Pavia                                     ","0061 0061","Diumenge","Dg","Laboral","2017",2,"Febrer","26","14","Tarda","No és causa del  vianant",0,1,0,1,2,"427399,57","4580754,24","2.131109","41.372582"
"2017S005084    ",3,"Sants-Montjuïc",16,"la Bordeta",89707,"Constitució / Blanca                              ","0194 0196","Dissabte","Ds","Laboral","2017",6,"Juny","10","00","Nit","Desobeir el senyal del semàfor",0,3,0,3,1,"427470,26","4580219,33","2.131496","41.368214"
"2017S007322    ",3,"Sants-Montjuïc",16,"la Bordeta",30602,"Mig (Descendent)                                  ","0001 0001","Divendres","Dv","Laboral","2017",9,"Setembre","1","17","Tarda","No és causa del  vianant",0,1,0,1,2,"427736,46","4579867,28","2.128001","41.382867"
"2017S006907    ",3,"Sants-Montjuïc",17,"Sants - Badal",312400,"Sants / Badal                                     ","0259 0271","Divendres","Dv","Laboral","2017",8,"Agost","11","09","Matí","No és causa del  vianant",0,1,0,1,2,"427351,59","4581003,19","2.130464","41.375494"
"2017S008870    ",3,"Sants-Montjuïc",16,"la Bordeta",30602,"Badal                                             ","0032 0032","Dijous","Dj","Laboral","2017",10,"Octubre","26","18","Tarda","No és causa del  vianant",0,1,0,1,1,"427702,08","4580064,26","2.134416","41.367"
"2017S008334    ",3,"Sants-Montjuïc",18,"Sants",351300,"Valladolid / Santa Caterina                       ","0037B0037B","Dilluns","Dl","Laboral","2017",10,"Octubre","9","19","Tarda","No és causa del  vianant",0,1,0,1,1,"427931,19","4581299,01","2.137117","41.378122"
"2017S008513    ",3,"Sants-Montjuïc",18,"Sants",40300,"Berlín                                            ","0004 0004","Dilluns","Dl","Laboral","2017",10,"Octubre","16","14","Tarda","No és causa del  vianant",0,1,0,1,2,"427915,71","4581741,44","2.13677","41.382125"
"2017S003437    ",3,"Sants-Montjuïc",18,"Sants",88001,"Centre / Comtes de Bell-lloc                      ","0142 0142","Dilluns","Dl","Laboral","2017",4,"Abril","17","13","Matí","No és causa del  vianant",0,1,0,1,2,"427888,37","4581723,80","2.136263","41.382059"
